is_offer_completed,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social
1,M,68,71000.0,2014,7,22,3,7,7,discount,True,True,True,True
1,M,74,89000.0,2015,9,8,10,10,5,bogo,True,True,True,True
1,F,51,81000.0,2016,12,27,2,10,7,discount,True,True,True,False
1,F,49,80000.0,2016,7,4,10,10,5,bogo,True,True,True,True
1,F,97,52000.0,2017,9,29,5,5,7,bogo,True,True,True,False
1,F,63,100000.0,2013,10,5,5,5,7,bogo,True,True,True,False
0,M,76,85000.0,2016,7,14,3,7,7,discount,True,True,True,True
0,F,118,70598.23,2018,7,17,0,0,4,informational,True,True,True,False
1,M,59,85000.0,2015,11,29,5,5,7,bogo,True,True,True,False
0,M,63,34000.0,2017,10,1,10,10,5,bogo,True,True,True,True
0,M,44,35000.0,2018,1,24,5,5,5,bogo,True,True,True,True
1,M,55,85000.0,2017,3,23,2,10,7,discount,True,True,True,False
1,M,54,96000.0,2017,9,5,5,5,7,bogo,True,True,True,False
0,M,64,63000.0,2017,10,4,10,10,5,bogo,True,True,True,True
0,M,44,62000.0,2017,2,19,0,0,4,informational,True,True,True,False
0,M,52,92000.0,2015,9,5,0,0,4,informational,True,True,True,False
1,M,61,96000.0,2016,7,18,10,10,5,bogo,True,True,True,True
1,F,76,71000.0,2016,11,5,2,10,7,discount,True,True,True,False
1,M,34,55000.0,2016,8,7,2,10,10,discount,True,True,True,True
0,F,66,66000.0,2016,10,17,0,0,3,informational,True,True,False,True
0,F,57,54000.0,2016,12,20,0,0,3,informational,True,True,False,True
1,M,71,84000.0,2017,1,17,5,5,7,bogo,True,True,True,False
1,F,80,72000.0,2015,12,18,10,10,5,bogo,True,True,True,True
0,F,57,51000.0,2016,2,1,5,5,5,bogo,True,True,True,True
1,M,68,119000.0,2017,6,3,10,10,5,bogo,True,True,True,True
0,F,56,78000.0,2018,3,1,0,0,3,informational,True,True,False,True
1,M,56,72000.0,2017,1,24,2,10,7,discount,True,True,True,False
1,F,26,68000.0,2017,11,3,3,7,7,discount,True,True,True,True
1,M,72,93000.0,2015,8,22,3,7,7,discount,True,True,True,True
0,M,62,58000.0,2013,10,17,5,5,5,bogo,True,True,True,True
1,F,44,42000.0,2016,1,11,5,5,7,bogo,True,True,True,False
1,M,60,79000.0,2017,4,22,3,7,7,discount,True,True,True,True
0,M,67,61000.0,2018,5,25,2,10,10,discount,True,True,True,True
1,M,73,90000.0,2016,6,22,10,10,7,bogo,True,True,False,True
1,F,57,64000.0,2017,11,24,5,20,10,discount,True,False,True,False
0,M,22,40000.0,2018,1,2,10,10,7,bogo,True,True,False,True
1,F,33,64000.0,2017,1,22,10,10,5,bogo,True,True,True,True
1,F,77,75000.0,2017,8,4,5,5,7,bogo,True,True,True,False
1,M,62,69000.0,2017,6,29,2,10,7,discount,True,True,True,False
0,F,118,70598.23,2017,1,16,2,10,7,discount,True,True,True,False
1,M,58,70000.0,2015,12,21,5,5,7,bogo,True,True,True,False
0,F,118,70598.23,2018,4,14,5,20,10,discount,True,False,True,False
1,M,41,30000.0,2015,2,26,2,10,10,discount,True,True,True,True
1,O,34,72000.0,2017,6,26,5,20,10,discount,True,False,True,False
1,F,53,49000.0,2017,1,22,3,7,7,discount,True,True,True,True
1,F,66,98000.0,2016,4,10,3,7,7,discount,True,True,True,True
1,M,51,45000.0,2017,6,29,5,20,10,discount,True,False,True,False
1,M,50,76000.0,2017,10,6,5,5,7,bogo,True,True,True,False
1,M,60,99000.0,2017,8,5,2,10,7,discount,True,True,True,False
1,M,48,83000.0,2017,5,6,3,7,7,discount,True,True,True,True
1,M,89,84000.0,2015,10,5,2,10,7,discount,True,True,True,False
0,F,118,70598.23,2017,5,26,5,20,10,discount,True,False,True,False
0,M,24,48000.0,2017,12,13,10,10,5,bogo,True,True,True,True
0,F,118,70598.23,2015,5,16,10,10,7,bogo,True,True,False,True
0,M,41,83000.0,2018,5,3,5,20,10,discount,True,False,True,False
0,M,52,78000.0,2018,6,25,0,0,3,informational,True,True,False,True
1,F,57,70000.0,2017,10,29,5,5,5,bogo,True,True,True,True
1,F,67,101000.0,2017,3,24,3,7,7,discount,True,True,True,True
0,F,44,64000.0,2016,4,7,0,0,4,informational,True,True,True,False
1,F,52,63000.0,2016,7,10,5,5,7,bogo,True,True,True,False
0,M,55,42000.0,2017,8,28,10,10,7,bogo,True,True,False,True
1,F,63,110000.0,2018,4,7,10,10,5,bogo,True,True,True,True
1,M,54,39000.0,2018,5,23,2,10,10,discount,True,True,True,True
1,M,68,84000.0,2015,8,31,2,10,10,discount,True,True,True,True
0,M,44,41000.0,2017,8,18,0,0,3,informational,True,True,False,True
1,M,57,58000.0,2015,9,23,5,5,7,bogo,True,True,True,False
1,M,52,38000.0,2016,2,1,2,10,10,discount,True,True,True,True
1,M,73,55000.0,2015,9,12,2,10,10,discount,True,True,True,True
0,M,71,38000.0,2017,8,20,10,10,7,bogo,True,True,False,True
0,F,21,60000.0,2018,1,25,2,10,10,discount,True,True,True,True
1,F,64,75000.0,2016,9,25,2,10,10,discount,True,True,True,True
1,M,68,50000.0,2016,3,24,10,10,5,bogo,True,True,True,True
1,M,25,53000.0,2017,10,21,2,10,10,discount,True,True,True,True
1,M,37,41000.0,2017,11,5,2,10,7,discount,True,True,True,False
1,M,24,61000.0,2017,2,12,5,5,5,bogo,True,True,True,True
0,M,44,55000.0,2018,2,2,0,0,4,informational,True,True,True,False
1,F,118,70598.23,2017,12,26,2,10,10,discount,True,True,True,True
