,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,is_offer_completed,reward,difficulty,duration,offer_type,email,mobile,web,social
0,F,118,70598.22601839685,2017,2,12,0,5,20,10,discount,True,False,True,False
1,F,118,70598.22601839685,2017,2,12,1,3,7,7,discount,True,True,True,True
2,F,118,70598.22601839685,2018,7,12,0,0,0,3,informational,True,True,False,True
3,F,118,70598.22601839685,2018,7,12,0,5,5,7,bogo,True,True,True,False
4,F,75,100000.0,2017,5,9,0,0,0,3,informational,True,True,False,True
5,F,75,100000.0,2017,5,9,1,5,5,7,bogo,True,True,True,False
6,F,75,100000.0,2017,5,9,1,10,10,7,bogo,True,True,False,True
7,F,75,100000.0,2017,5,9,1,5,5,5,bogo,True,True,True,True
8,F,118,70598.22601839685,2017,8,4,0,5,20,10,discount,True,False,True,False
9,F,118,70598.22601839685,2017,8,4,0,0,0,4,informational,True,True,True,False
10,M,68,70000.0,2018,4,26,0,2,10,7,discount,True,True,True,False
11,M,68,70000.0,2018,4,26,1,5,5,7,bogo,True,True,True,False
12,M,68,70000.0,2018,4,26,1,2,10,10,discount,True,True,True,True
13,F,118,70598.22601839685,2017,9,25,0,2,10,7,discount,True,True,True,False
14,F,118,70598.22601839685,2017,9,25,0,0,0,4,informational,True,True,True,False
15,F,118,70598.22601839685,2017,9,25,0,10,10,5,bogo,True,True,True,True
16,F,118,70598.22601839685,2017,9,25,0,2,10,10,discount,True,True,True,True
17,F,118,70598.22601839685,2017,10,2,0,2,10,7,discount,True,True,True,False
18,F,118,70598.22601839685,2017,10,2,0,10,10,5,bogo,True,True,True,True
19,M,65,53000.0,2018,2,9,1,2,10,7,discount,True,True,True,False
20,M,65,53000.0,2018,2,9,1,5,5,7,bogo,True,True,True,False
21,M,65,53000.0,2018,2,9,1,5,5,5,bogo,True,True,True,True
22,M,65,53000.0,2018,2,9,1,2,10,10,discount,True,True,True,True
23,F,118,70598.22601839685,2016,11,22,0,10,10,5,bogo,True,True,True,True
24,F,118,70598.22601839685,2016,11,22,0,0,0,3,informational,True,True,False,True
25,F,118,70598.22601839685,2016,11,22,0,5,5,5,bogo,True,True,True,True
26,F,118,70598.22601839685,2017,8,24,0,3,7,7,discount,True,True,True,True
27,F,118,70598.22601839685,2015,9,19,0,10,10,7,bogo,True,True,False,True
28,M,58,51000.0,2017,11,11,0,3,7,7,discount,True,True,True,True
